,youtube_id,path,label
0,00EMZGzlhek,"./train_subset/00EMZGzlhek_000018_000028.mp4
",dying hair
1,010-V-VDIjg,"./train_subset/010-V-VDIjg_000046_000056.mp4
",fixing hair
2,01g3m09BmOs,"./train_subset/01g3m09BmOs_000031_000041.mp4
",riding camel
3,01K2CkCBJRU,"./train_subset/01K2CkCBJRU_000097_000107.mp4
",stretching leg
4,01ZrQnMruig,"./train_subset/01ZrQnMruig_000002_000012.mp4
",flipping pancake
5,02DqLWNxQ0M,"./train_subset/02DqLWNxQ0M_000001_000011.mp4
",stretching leg
6,038zQEwoH64,"./train_subset/038zQEwoH64_000004_000014.mp4
",flipping pancake
7,03D52lUTeEA,"./train_subset/03D52lUTeEA_000039_000049.mp4
",fixing hair
8,06FKXtuErCc,"./train_subset/06FKXtuErCc_000078_000088.mp4
",balloon blowing
9,06t5SARFE2I,"./train_subset/06t5SARFE2I_000147_000157.mp4
",wrapping present
10,07ILndvuKUc,"./train_subset/07ILndvuKUc_000074_000084.mp4
",baking cookies
11,08iHSCxza2o,"./train_subset/08iHSCxza2o_001131_001141.mp4
",spraying
12,08XmO2-Xy94,"./train_subset/08XmO2-Xy94_000013_000023.mp4
",stretching leg
13,09AinCnKAE8,"./train_subset/09AinCnKAE8_000010_000020.mp4
",riding camel
14,09yxWl2Ek1M,"./train_subset/09yxWl2Ek1M_000158_000168.mp4
",baking cookies
15,0A87paHKUec,"./train_subset/0A87paHKUec_000018_000028.mp4
",riding camel
16,0acHgv8A6U8,"./train_subset/0acHgv8A6U8_000107_000117.mp4
",baking cookies
17,0Ata9VACjv8,"./train_subset/0Ata9VACjv8_000023_000033.mp4
",baking cookies
18,0BCJpch3w8Q,"./train_subset/0BCJpch3w8Q_000004_000014.mp4
",riding camel
19,0c3PhelPxZA,"./train_subset/0c3PhelPxZA_000001_000011.mp4
",stretching leg
20,0cTGPt8kdp0,"./train_subset/0cTGPt8kdp0_000003_000013.mp4
",balloon blowing
21,0d4HGA3-Vj0,"./train_subset/0d4HGA3-Vj0_000113_000123.mp4
",dying hair
22,0d9uDbkSkIQ,"./train_subset/0d9uDbkSkIQ_000100_000110.mp4
",wrapping present
23,0DdXhnmSEbE,"./train_subset/0DdXhnmSEbE_000004_000014.mp4
",riding camel
24,0duyCnchMvg,"./train_subset/0duyCnchMvg_000119_000129.mp4
",balloon blowing
25,0e13-uPv0DM,"./train_subset/0e13-uPv0DM_000040_000050.mp4
",balloon blowing
26,0e7DZ7eGNWE,"./train_subset/0e7DZ7eGNWE_000140_000150.mp4
",stretching leg
27,0eAqJ4-oKTM,"./train_subset/0eAqJ4-oKTM_000056_000066.mp4
",stretching leg
28,0EpoMAmeJIw,"./train_subset/0EpoMAmeJIw_000033_000043.mp4
",baking cookies
29,0Ew6reNm3Mk,"./train_subset/0Ew6reNm3Mk_000353_000363.mp4
",spraying
30,0gfC90gNQnw,"./train_subset/0gfC90gNQnw_000002_000012.mp4
",shot put
31,0h45uztur-o,"./train_subset/0h45uztur-o_000055_000065.mp4
",wrapping present
32,0j9pyABEzhI,"./train_subset/0j9pyABEzhI_000423_000433.mp4
",dying hair
33,0jVbZQvm9lM,"./train_subset/0jVbZQvm9lM_000071_000081.mp4
",stretching leg
34,0j-xkhqhtlo,"./train_subset/0j-xkhqhtlo_000286_000296.mp4
",dying hair
35,0K4X6shWy4g,"./train_subset/0K4X6shWy4g_000105_000115.mp4
",dying hair
36,0kDPKHF2QD8,"./train_subset/0kDPKHF2QD8_000020_000030.mp4
",dying hair
37,0L3RDU3j3h4,"./train_subset/0L3RDU3j3h4_000033_000043.mp4
",riding camel
38,0Lct0A-F0hA,"./train_subset/0Lct0A-F0hA_000058_000068.mp4
",stretching leg
39,0LiuhIkwBfI,"./train_subset/0LiuhIkwBfI_000033_000043.mp4
",wrapping present
40,0ltBh22tXak,"./train_subset/0ltBh22tXak_000003_000013.mp4
",shot put
